prison53,29-May-15,/compliance/criminal-investigation/ross-ulbricht-aka-dread-pirate-roberts-sentenced-in-manhattan-federal-court-to-life-in-prison,"May 29, 2015 — Ross Ulbricht, aka “Dread Pirate Roberts,” was sentenced today in Manhattan federal court to life in prison in connection with his operation and ownership of Silk Road, a hidden website designed to enable its users to buy and sell illegal drugs and other unlawful goods and services anonymously and beyond the reach of law enforcement between January 2011 and October 2013. Ulbricht was found guilty of each of the seven charges he faced on February 5, 2015, following a four-week jury trial. U.S. District Judge Katherine B. Forrest imposed today’s sentence."
IR-2019-167,9-Oct-19,/newsroom/virtual-currency-irs-issues-additional-guidance-on-tax-treatment-and-reminds-taxpayers-of-reporting-obligations,"IR-2019-167, October 9, 2019 — As part of a wider effort to assist taxpayers and to enforce the tax laws in a rapidly changing area, the Internal Revenue Service today issued two new pieces of guidance for taxpayers who engage in transactions involving virtual currency."
bitcoin48,16-Oct-19,/compliance/criminal-investigation/south-korean-national-and-hundreds-of-others-charged-worldwide-in-the-takedown-of-the-largest-darknet-child-pornography-website-which-was-funded-by-bitcoin,"October 16, 2019 — Jong Woo Son, 23, a South Korean national, was indicted by a federal grand jury in the District of Columbia for his operation of Welcome To Video, the largest child sexual exploitation market by volume of content."
IR-2019-199,5-Dec-19,/newsroom/irs-criminal-investigation-releases-fiscal-year-2019-annual-report-celebrates-100-years,"IR-2019-199, December 5, 2019 — The Internal Revenue Service today released the Criminal Investigation Division’s (CI) annual report, highlighting significant successes and criminal enforcement actions taken in fiscal year 2019."
fraud59,16-Jan-20,/compliance/criminal-investigation/pennsylvania-anesthesiologist-sentenced-to-prison-for-tax-fraud,"January 16, 2020 — A Pennsylvania anesthesiologist was sentenced to 30 months in prison today for filing a false income tax return."
operation31,24-Jan-20,/compliance/criminal-investigation/san-francisco-man-sentenced-to-more-than-16-years-in-prison-for-crimes-related-to-illegal-fentanyl-pill-manufacturing-operation,"January 24, 2020 — Kia Zolfaghari was sentenced today to 200 months in prison for conspiring to distribute fentanyl. The sentence was handed down by the Honorable Susan Illston, Senior United States District Judge."
IR-2020-33,19-Feb-20,/newsroom/j5-tax-chiefs-closing-the-net-on-global-tax-evasion,"IR-2020-33, February 19, 2020 — Leaders from five international tax organizations came together in Sydney, Australia, this week to review the J5’s progress in their fight against transnational tax crime and set priorities for the year ahead."
hack48,2-Mar-20,/compliance/criminal-investigation/two-chinese-nationals-charged-with-laundering-over-100-million-in-cryptocurrency-from-exchange-hack,"March 2, 2020 — Two Chinese nationals were charged with laundering over $100 million worth of cryptocurrency from a hack of a cryptocurrency exchange. The funds were stolen by North Korean actors in 2018, as detailed in the civil forfeiture complaint also unsealed today."
cryptocurrency25,12-Mar-20,/compliance/criminal-investigation/dutch-national-charged-in-takedown-of-obscene-website-selling-over-2000-real-rape-and-child-pornography-videos-funded-by-cryptocurrency,"March 12, 2020 — Dutch National Michael R. M. aka Mr. Dark, 32, was indicted by a federal grand jury in the District of Columbia for his operation of Dark Scandals, a site on both the Darknet and Clearnet that featured violent rape videos and depictions of child pornography."
IR-2020-123,18-Jun-20,/newsroom/irs-ci-highlights,"FS-2022-19, March 2022 — This fact sheet shows just a small example of the types of cases in which CI has led or been significantly involved in over the last few years. These cases show the breadth and skill of CI’s Special Agents in various types of fraud and criminal activity that have had significant impacts on the financial system at home and abroad."
